onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms	context_label
666.142	0.3	GROUP	(0.3)	SIL				shared	manual	0.0					
666.442	5.749	P3	But then after you need to apply your knowledge in a more like interactive way.	SPK		0.025988	5.43	mic11	manual	0.0	300.0	23442.0		46.0	
672.145	0.91	P2	mm-hmm	BCK				shared	manual	-46.0			5703.0	910.0	
672.191	1.078	GROUP	(1.1)	SIL				shared	manual	-864.0				1060.0	
673.073	0.5	P4	mm-hmm	BCK				shared	manual	-196.0				500.0	
673.269	8.289	P3	So I feel like ideally all the formats are good.	SPK		0.017984	2.9	mic11	manual	-304.0	1078.0	30269.0		544.0	
673.72	0.24	P4	yeah	BCK		0.01402	1.65	mic12	manual	-7838.0			451.0	240.0	
681.558	4.05	GROUP	(4.0)	SIL				shared	manual	7598.0				2330.0	
681.969	1.97	GROUP	[GROUP LAUGHTER]	LAU				shared	manual	-3639.0				2330.0	
683.139	0.36	P1	yeah	BCK		0.021503	1.32	mic9	manual	-800.0				720.0	
685.608	2.0	P1	So...	SPK				shared	manual	2109.0	4050.0	4050.0		1076.0	
687.07	1.501	P4	Yeah, I would go for the fourth one.	SPK		0.022052	5.03	mic12	manual	-538.0	-538.0	-538.0		1076.0	
687.07	0.538	P4	[OVL:competitive]	OVL	competitive			shared	uncertain	-1501.0				1076.0	collaborative
688.571	1.04	GROUP	(1.0)	SIL				shared	manual	963.0					
689.611	17.408	P4	But also from the point of view that it's a big corporation, so any opportunity that we can get to get closer and to work with people, to do this cross-collaboration, cross-department work, it helps for everyone's comfort in a big corporation.	SPK		0.013531	5.43	mic12	manual	0.0	1040.0	2003.0			
707.019	1.488	GROUP	(1.5)	SIL				shared	manual	0.0				0.0	
708.507	0.36	P1	I agree.	SPK		0.01793	6.86	mic9	manual	0.0	1488.0	1488.0		0.0	
708.867	5.121	GROUP	(5.1)	SIL				shared	manual	0.0				2240.0	
709.907	2.24	P2	mmh, mmh	BCK				shared	manual	-4081.0				2240.0	
713.988	3.942	P3	what is the easiest to implement first?	SPK		0.017018	4.83	mic11	manual	1841.0	5121.0	5121.0		0.0	
717.93	1.261	GROUP	(1.3)	SIL				shared	manual	0.0				0.0	
719.191	24.132	P3	Is it not like what we do right now with at the end like with online training and then you can like more like online training or lecture with like self-independent learning and then like you just like you know like you kind of have like phase one online training phase two like lecture and then phase three interactive informal workshop	SPK		0.019348	5.2	mic11	manual	0.0	1261.0	10324.0			
743.323	0.485	GROUP	(0.5)	SIL				shared	manual	0.0					
743.808	3.4	P1	But we're planning one workshop, not a series of workshops.	SPK		0.017104	2.24	mic9	manual	0.0	485.0	485.0		1548.0	
746.408	0.541	P4	Good solution.	SPK		0.012096	1.11	mic12	manual	-800.0	-800.0	-800.0		1082.0	
746.408	0.541	P4	[OVL:competitive]	OVL	competitive			shared	confident	-541.0				1082.0	competitive
746.949	0.491	GROUP	(0.5)	SIL				shared	manual	0.0				698.0	
747.001	0.981	P4	We need to	BCK				shared	manual	-439.0			3193.0	1188.0	
747.44	3.16	P3	Oh yeah... I won't say it's right.	SPK		0.052848	1.62	mic11	manual	-542.0	491.0	491.0		4133.0	
748.171	1.971	P1	[LAUGHTER]	LAU				shared	manual	-2429.0				2675.0	
749.79	1.552	P1	We don't have four days.	SPK		0.075392	1.03	mic9	manual	-352.0	-810.0	-810.0		2263.0	
749.79	0.81	P1	[OVL:competitive]	OVL	competitive			shared	uncertain	-1552.0				1972.0	collaborative
751.051	2.931	P4	[SOFT LAUGHTER]	LAU				shared	manual	451.0				2931.0	
751.342	2.863	GROUP	(2.9)	SIL				shared	manual	-2640.0				2640.0	
754.205	0.971	P3	My bad.	SPK		0.081151	1.29	mic11	manual	0.0	2863.0	2863.0			
755.176	12.178	GROUP	(12.2)	SIL				shared	manual	0.0				9389.0	
755.195	3.149	GROUP	[GROUP LAUGHTER]	LAU				shared	manual	-12159.0				3149.0	
761.042	1.552	P2	yeah	BCK				shared	manual	2698.0				1552.0	
762.666	10.177	MODERATOR	[MOD_EVT:instruction]	MOD_EVT				shared	manual	72.0				10177.0	
767.354	0.97	P4	We want more time.	SPK		0.023344	1.15	mic12	manual	-5489.0	12178.0	12178.0		970.0	
