group_id	task_id	window_index	tr_semantic_continuity	tr_cross_speaker_similarity
grp-10	T3	14	0.1243087500333786	0.14371625629478488
grp-10	T3	15	0.21981294453144073	0.25018303592999774
grp-10	T3	16	0.16572792530059816	0.1758061650654544
grp-10	T3	17	0.23030799999833107	0.1984316707927395
grp-10	T3	18	0.363183652361234	0.254392066039145
grp-10	T3	19	0.32099307222025736	0.2419969134710052
grp-10	T3	20	0.5491329981014132	0.28946793360122736
grp-10	T3	21	0.6969635188579559	0.4481313079595566
grp-11	T1	0		
grp-11	T1	1	0.10657441429793835	0.1367360153235495
grp-11	T1	2	0.06967409700155258	0.07373932997385661
grp-11	T1	3	0.05696713179349899	0.05696713179349899
grp-11	T1	4	0.34356939792633057	0.30859722197055817
grp-11	T1	5	0.6079267263412476	0.28194281210501987
grp-11	T1	6	0.383731902576983	0.2466976947697072
grp-11	T1	7	0.41185095267636435	0.2613994316197932
grp-11	T1	8	0.19926154613494873	0.34798841178417206
grp-11	T1	9	0.24101573526859282	0.19349903499950533
grp-11	T1	10	0.15998593717813492	0.19401781832178433
grp-11	T1	11	0.30153588950634	0.28257761523127556
grp-11	T1	12	0.23905248939990997	0.23905248939990997
grp-11	T1	13		
grp-11	T1	16		
grp-11	T1	17	0.20675668741265932	0.23809175744652747
grp-11	T1	18		
grp-11	T2	0	0.3094400465488434	0.2590038627386093
grp-11	T2	6	0.2786478102207184	0.13530893474817277
grp-11	T2	7	0.06663195788860321	0.19528205941120783
grp-11	T2	8	0.28487566113471985	0.14097240061632224
grp-11	T2	9		
grp-11	T2	10		
grp-11	T2	11	0.06223843991756439	0.2127085675795873
grp-11	T2	12	0.1880461573600769	0.12391279389460881
grp-11	T2	13	0.3210453391075134	0.1628217488527298
grp-11	T2	14		
grp-11	T2	15	0.15358276665210724	0.2136481227843385
grp-11	T2	16	0.4738614559173584	0.5124511867761612
grp-11	T2	17	0.21523475646972656	0.17946911691909745
grp-11	T2	18	0.17331113666296005	0.13502384051038274
grp-11	T2	19	0.25198884805043537	0.21993257918141104
grp-11	T2	20	0.22566695660352706	0.2517374136019498
grp-11	T2	21	0.1453718589618802	0.1890371310739563
grp-11	T2	22	0.21898718178272247	0.172515282407403
grp-11	T2	23	0.2608332186937332	0.19591380583194942
grp-11	T2	24	0.21547534316778183	0.22947999835014343
grp-11	T2	26		
