group_id	task_id	window_index	group_hr_mean_bpm_mean	group_hrv_rmssd_ms_mean	group_eda_phasic_rate_hz_mean	group_temp_mean_mean	group_et_pupil_mean_mean	group_et_blink_rate_per_min_mean	group_et_gaze_dispersion_mean	tr_spk_duration_s	tr_backchannel_count	tr_overlap_count	tr_competitive_overlap	cluster
grp-10	T2	4	0.04907444440064504	-0.3386722000461125	-1.2672789729488663	0.7925369064310749	3.0529	16.0138	0.1853	7.722	0.0	0.0	0.0	0
grp-10	T2	5	0.35265815263594846	-2.044331474323165	-0.6213921311916107	0.8055710721053083	3.0424	8.0069	0.2048	36.354	2.0	1.0	0.0	0
grp-10	T2	6	-0.17723969955432448	0.32604586259089136	-0.9424017591308456	0.7482207431386935	3.1036	4.6676	0.2105	28.635	0.0	0.0	0.0	0
grp-10	T2	7	-1.072129761378799	0.10292752385768637	-0.6175245453128249	0.6869601644698023	3.1795	10.6758	0.1976	34.8	3.0	3.0	0.0	0
grp-10	T2	8	-1.6138369407611681	-0.8080855174490544	0.666513966444114	0.6834843869566508	3.0328	13.0112	0.1517	29.523	1.0	4.0	3.0	1
grp-10	T2	9	-1.8482051446839693	-0.40644243458610957	0.3455043385048795	0.6726225822281332	2.9314	11.0021	0.126	21.507	1.0	0.0	0.0	0
grp-10	T2	10	-0.826041170803424	1.5497423780965967	-1.588288600888101	0.6843533313349309	2.9807	12.0103	0.1665	28.607	0.0	2.0	0.0	0
grp-10	T2	11	0.7050010410936792	1.0864899911063806	-1.588288600888101	0.6391682236642694	2.9975	8.0069	0.163	28.569	2.0	0.0	0.0	0
grp-10	T2	12	1.2685777109163061	0.35821193397396217	-1.588288600888101	0.49057873497802035	2.9355	6.0011	0.1221	28.746	0.0	1.0	1.0	0
grp-10	T2	13	0.9393494804521428	0.12839216103852236	-0.29651491737359015	0.34329266285917615	2.9759	7.006	0.1365	9.68	1.0	1.0	1.0	0
grp-10	T2	14	1.0522842010808222	0.44434304160413085	2.2870324496554315	0.2524879753286975	3.1097	3.3362	0.1659	39.276	0.0	1.0	1.0	0
grp-10	T2	15	2.214657994376813	0.06959510219199568	2.2831648637766455	0.14560781679998933	3.2199	6.6724	0.1717	17.168	3.0	1.0	0.0	0
grp-10	T2	16	2.0734698290266245	-1.5209612485496569	0.9913911802621347	0.05306524051291943	3.2695	6.0052	0.1871	39.539	1.0	0.0	0.0	0
grp-10	T2	17	1.385455462130465	-1.2553828828031455	-0.29651491737359015	0.010921438166253898				15.655	1.0	0.0	0.0	0
grp-10	T2	18	0.5028688416065421	-0.029178917386719357	-1.2672789729488663	0.020914298516491313				23.708	0.0	0.0	0.0	0
grp-10	T2	19	-1.1148014557850514	0.7551774238916248	-0.29651491737359015	0.03134163105588425				41.024	2.0	0.0	0.0	0
grp-10	T2	20	-1.4322203590571192	0.6349011069423698	0.34937192438366527	0.07826462748310617				9.009	0.0	0.0	0.0	0
grp-10	T2	21	0.055744984864800604	-0.07085054037623283	1.3162683940801556	0.10780873634469378				2.019	2.0	1.0	0.0	0
grp-10	T2	22	0.4598413850422025	0.6192468167380001	0.9913911802621347	0.0687062393219934				20.089	2.0	1.0	0.0	0
grp-10	T2	23	-0.3722072444688519	0.14863057360803425	0.024494710565644673	0.028734797921012866				21.035	4.0	1.0	0.0	0
grp-10	T2	24	0.5240959837058071	-0.11870341346980892	1.3201359799589416	0.04090001921696615				15.738	1.0	2.0	0.0	0
grp-10	T3	0	-1.1968738091995759	0.9313816592709239	-0.29651491737359015	0.8333772922103355	3.0737	7.3347	0.2001	35.515	0.0	4.0	1.0	0
grp-10	T3	1	-0.42839790088245683	1.3340366627623457	-0.3003825032523759	0.7899300732962343	3.1258	6.0052	0.1731	27.713	0.0	2.0	1.0	0
grp-10	T3	2	-0.47360934180617104	0.48603904822324695	0.3455043385048795	0.8950723430683821	3.0734	11.0095	0.1458	22.289	0.0	0.0	0.0	0
grp-10	T3	3	-0.2664865898236281	0.20611498039432985	0.6703815523229001	1.091453772560164	2.8886	8.0015	0.1064	20.589	1.0	0.0	0.0	0
grp-10	T3	4	0.3161530023032269	0.1627039918265531	1.3201359799589416	1.0076006400559268	2.859	4.0034	0.0986	34.042	1.0	1.0	0.0	0
