group_id	task_id	window_index	window_start_s	group_hr_mean_bpm_mean	group_eda_phasic_rate_hz_mean	group_temp_mean_mean	group_et_pupil_mean_mean	tr_silence_duration_s	tr_backchannel_count	tr_laughter_count	tr_n_active_speakers	tr_ovl_count	tr_ovl_contested	tr_ovl_time_s	tr_ovl_collaboration_index
grp-16	T3	11	330.0	84.7004	0.0668	36.258	2.900493023255814	9.353	2.0	0.0	3.0	0.0	0.0	0.0	0.0
grp-16	T3	12	360.0	84.9111	0.0417	36.2539	2.900493023255814	1.433	4.0	0.0	1.0	0.0	0.0	0.0	0.0
grp-16	T3	13	390.0	75.195	0.0834	36.2605	2.900493023255814	2.051	4.0	1.0	2.0	0.0	0.0	0.0	0.0
grp-16	T3	14	420.0	82.5324	0.1418	36.2741	2.900493023255814	3.661	0.0	4.0	4.0	0.0	0.0	0.0	0.0
grp-16	T3	15	450.0	91.7988	0.1503	36.2742	2.900493023255814	0.867	3.0	1.0	3.0	0.0	0.0	0.0	0.0
grp-16	T3	16	480.0	87.6602	0.1085	36.2779	2.900493023255814	4.4	3.0	0.0	3.0	0.0	0.0	0.0	0.0
grp-16	T3	17	510.0	80.5976	0.0417	36.2616	2.900493023255814	0.397	1.0	0.0	3.0	0.0	0.0	0.0	0.0
grp-16	T3	18	540.0	71.3439	0.0333	36.2489	2.900493023255814	14.398	1.0	0.0	2.0	0.0	0.0	0.0	0.0
grp-16	T3	21	630.0	72.4917	0.0417	36.2682	2.900493023255814	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
grp-16	T3	22	660.0	73.8471	0.0334	36.2471	2.900493023255814	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
