group_id	task_id	window_index	da_n_utterances	da_n_speakers	da_statement	da_proposal	da_agreement	da_disagreement	da_compromise	da_question	da_answer	da_backchannel	da_hedge	da_decision	da_offtask	da_dominant
grp-08	T2	21	4	2	0.12675122870132327	0.03160943603143096	0.04972088779322803	0.07406882988288999	0.19212361983954906	0.08543614321388304	0.02310438931453973	0.06057232432067394	0.24906706996262074	0.05720092821866274	0.05034515936858952	hedge
grp-08	T2	22	3	2	0.07736874651163816	0.14294367035230002	0.07067069287101428	0.039343867218121886	0.23636040588219961	0.04614938593780001	0.014646677145113548	0.036478990223258734	0.20154663920402527	0.09258655955394109	0.04190436804977556	hedge
grp-08	T2	23	17	4	0.08039971517727655	0.04428592877572074	0.06043404132566031	0.04780842304257128	0.04770987239830634	0.01898867658832494	0.008420038009610246	0.056240504388423526	0.5268895174650585	0.06898777011562796	0.03983553318197236	hedge
grp-08	T2	24	4	2	0.06733501888811588	0.03204695554450154	0.032661229372024536	0.13373338151723146	0.03084474429488182	0.020142383640632033	0.010248252598103136	0.04034404782578349	0.541938342154026	0.04001124086789787	0.05069438274949789	hedge
grp-08	T2	25	2	2	0.06917080283164978	0.020071777515113354	0.037979425862431526	0.04582020826637745	0.028704550117254257	0.015095195267349482	0.0058924052864313126	0.12059568986296654	0.5865302979946136	0.03911280445754528	0.031026813201606274	hedge
grp-08	T2	26	1	1	0.12915681302547455	0.04050232470035553	0.052773427218198776	0.06371910125017166	0.050307609140872955	0.02767418697476387	0.004370147828012705	0.06459624320268631	0.4741693437099457	0.05246511474251747	0.040265701711177826	hedge
grp-08	T2	27	1	1	0.56405109167099	0.01481286995112896	0.014024542644619942	0.027218444272875786	0.016589628532528877	0.010081789456307888	0.0038266154006123543	0.031084438785910606	0.28306928277015686	0.02444615587592125	0.010795076377689838	statement
grp-08	T2	28	2	1	0.059730734676122665	0.017354873474687338	0.026450183242559433	0.05390200577676296	0.020299148745834827	0.011071146698668599	0.07669456512667239	0.058683525770902634	0.6165972650051117	0.024384718388319016	0.034831829369068146	hedge
grp-08	T2	29	6	2	0.11776195218165715	0.03214046910094718	0.04103221573556463	0.11163633316755295	0.036898983642458916	0.026750768224398296	0.018353024497628212	0.07340366082886855	0.43681370715300244	0.05000895463551084	0.05519993820538124	hedge
grp-08	T2	30	10	3	0.11630068756639958	0.027657718863338232	0.03484376110136509	0.08418660536408425	0.034760747384279964	0.017130434419959782	0.005991662910673767	0.04628092348575592	0.5554940193891525	0.03788609281182289	0.03946734145283699	hedge
